,Country,Code,suicide_rate
179,Barbados,BRB,3.911838108
180,Maldives,MDV,3.768183464
181,Algeria,DZA,3.611027826
182,Papua New Guinea,PNG,3.588242847
183,Myanmar,MMR,3.563829616
184,Azerbaijan,AZE,3.555766378
185,Egypt,EGY,3.551134391
186,Greece,GRC,3.497055464
187,Lebanon,LBN,3.308127298
188,Tunisia,TUN,3.303175914
189,Saint Kitts and Nevis,KNA,3.290789715
190,Honduras,HND,3.262113587
191,Bermuda,BMU,3.151250325
192,Indonesia,IDN,2.992018771
193,Palestine,PSE,2.977771886
194,Peru,PER,2.924131055
195,Jamaica,JAM,2.916239774
196,Turkey,TUR,2.832107179
197,Bahamas,BHS,2.828738188
198,Antigua and Barbuda,ATG,2.769951618
199,Kuwait,KWT,2.748620197
200,Oman,OMN,2.625783978
201,Sao Tome and Principe,STP,2.561318032
202,Jordan,JOR,2.545684269
203,Syria,SYR,2.289098312
